Order #,Supplier,Date Added,Invoice Number,Metal Type,Qty,Weight,Price
53027,,17/07/2024,0,14KT,1,4.43 g.,
53020,,17/07/2024,0,14KT,1,3.32 g.,
53019,,17/07/2024,0,14KT,1,3.12 g.,
53029,,17/07/2024,0,14KT,1,4.29 g.,
53030,,17/07/2024,0,14KT,1,4.18 g.,
53004,,17/07/2024,0,18KT,1,3.57 g.,
53014,,17/07/2024,0,18KT,1,3.41 g.,
53023,,17/07/2024,0,18KT,1,7.6 g.,
53008,,17/07/2024,0,Platinum,1,6.81 g.,
53016,,17/07/2024,0,Platinum,1,7.64 g.,
52840,,17/07/2024,0,14KT,1,4.1 g.,
53040,,17/07/2024,0,14KT,1,3.67 g.,
53045,,17/07/2024,0,18KT,1,2.01 g.,
53037,,17/07/2024,0,14KT,1,1.32 g.,
53035,,17/07/2024,0,14KT,1,2.45 g.,
53015,,17/07/2024,0,14KT,1,2.8 g.,
53039,,17/07/2024,0,14KT,1,6.2 g.,
53044,,17/07/2024,0,14KT,1,7.9 g.,
53042,,17/07/2024,0,14KT,1,4.36 g.,
52961,,17/07/2024,0,14KT,1,4.37 g.,
53046,,17/07/2024,0,14KT,1,3.85 g.,
53052,,17/07/2024,0,14KT,1,3.04 g.,
53054,,17/07/2024,0,14KT,1,6.5 g.,
53055,,17/07/2024,0,18KT,1,2.43 g.,
53077,,17/07/2024,0,18KT,1,4.3 g.,
53082,,17/07/2024,0,18KT,1,7.78 g.,
53059,,17/07/2024,0,Platinum,1,3.45 g.,
52980,,17/07/2024,0,14KT,1,2.67 g.,
51447,,17/07/2024,0,14KT,1,6.24 g.,
53058,,17/07/2024,0,14KT,1,2.45 g.,
53063,,17/07/2024,0,14KT,1,4.56 g.,
53081,,17/07/2024,0,14KT,1,3.06 g.,
53075,,17/07/2024,0,14KT,1,3.05 g.,
53085,,17/07/2024,0,14KT,1,3.85 g.,
53067,,17/07/2024,0,14KT,1,3.21 g.,
53064,,17/07/2024,0,14KT,1,2.2 g.,
53070,,17/07/2024,0,14KT,1,3.92 g.,
53065,,17/07/2024,0,14KT,1,3.8 g.,
53066,,17/07/2024,0,14KT,1,3.8 g.,
53083,,17/07/2024,0,14KT,1,2.88 g.,
53071,,17/07/2024,0,14KT,1,2.06 g.,
53064,,17/07/2024,0,14KT,1,2.41 g.,
